timestamp,tipo_evento,pos_x,pos_y,info_extra
24/09/2025 22:02:21.433,movimento,223,312,
24/09/2025 22:02:21.698,movimento,223,306,
24/09/2025 22:02:21.716,movimento,221,301,
24/09/2025 22:02:21.732,movimento,218,295,
24/09/2025 22:02:21.749,movimento,214,290,
24/09/2025 22:02:21.766,movimento,214,288,
24/09/2025 22:02:21.799,movimento,213,287,
24/09/2025 22:02:21.847,criacao,213,287,poligono_1
24/09/2025 22:02:21.981,movimento,216,288,
24/09/2025 22:02:21.999,movimento,235,296,
24/09/2025 22:02:22.015,movimento,271,311,
24/09/2025 22:02:22.031,movimento,316,329,
24/09/2025 22:02:22.047,movimento,351,342,
24/09/2025 22:02:22.064,movimento,374,351,
24/09/2025 22:02:22.080,movimento,391,358,
24/09/2025 22:02:22.098,movimento,411,369,
24/09/2025 22:02:22.114,movimento,422,374,
24/09/2025 22:02:22.131,movimento,425,376,
24/09/2025 22:02:22.186,criacao,425,376,poligono_2
24/09/2025 22:02:22.251,movimento,426,377,
24/09/2025 22:02:22.267,movimento,426,380,
24/09/2025 22:02:22.285,movimento,426,381,
24/09/2025 22:02:22.285,movimento,424,386,
24/09/2025 22:02:22.300,movimento,414,395,
24/09/2025 22:02:22.316,movimento,403,409,
24/09/2025 22:02:22.334,movimento,393,425,
24/09/2025 22:02:22.351,movimento,385,443,
24/09/2025 22:02:22.367,movimento,375,459,
24/09/2025 22:02:22.384,movimento,368,470,
24/09/2025 22:02:22.400,movimento,362,476,
24/09/2025 22:02:22.417,movimento,353,483,
24/09/2025 22:02:22.433,movimento,351,485,
24/09/2025 22:02:22.449,movimento,350,486,
24/09/2025 22:02:22.483,criacao,350,486,poligono_3
24/09/2025 22:02:22.614,movimento,351,486,
24/09/2025 22:02:22.630,movimento,383,487,
24/09/2025 22:02:22.647,movimento,466,492,
24/09/2025 22:02:22.663,movimento,566,494,
24/09/2025 22:02:22.679,movimento,653,496,
24/09/2025 22:02:22.695,movimento,705,496,
24/09/2025 22:02:22.712,movimento,724,496,
24/09/2025 22:02:22.728,movimento,728,496,
24/09/2025 22:02:22.744,movimento,729,496,
24/09/2025 22:02:22.850,criacao,729,496,poligono_4
24/09/2025 22:02:23.002,movimento,728,496,
24/09/2025 22:02:23.018,movimento,725,495,
24/09/2025 22:02:23.035,movimento,721,494,
24/09/2025 22:02:23.052,movimento,718,492,
24/09/2025 22:02:23.069,movimento,715,489,
24/09/2025 22:02:23.085,movimento,712,487,
24/09/2025 22:02:23.101,movimento,709,483,
24/09/2025 22:02:23.118,movimento,706,478,
24/09/2025 22:02:23.135,movimento,705,475,
24/09/2025 22:02:23.153,movimento,702,471,
24/09/2025 22:02:23.170,movimento,700,467,
24/09/2025 22:02:23.188,movimento,699,463,
24/09/2025 22:02:23.205,movimento,696,458,
24/09/2025 22:02:23.221,movimento,691,452,
24/09/2025 22:02:23.237,movimento,685,445,
24/09/2025 22:02:23.255,movimento,675,439,
24/09/2025 22:02:23.270,movimento,670,435,
24/09/2025 22:02:23.288,movimento,667,433,
24/09/2025 22:02:23.305,movimento,666,433,
24/09/2025 22:02:23.370,movimento,672,436,
24/09/2025 22:02:23.386,movimento,689,451,
24/09/2025 22:02:23.403,movimento,708,465,
24/09/2025 22:02:23.419,movimento,723,476,
24/09/2025 22:02:23.436,movimento,730,485,
24/09/2025 22:02:23.452,movimento,732,488,
24/09/2025 22:02:23.469,movimento,732,489,
24/09/2025 22:02:23.485,movimento,731,490,
24/09/2025 22:02:23.502,movimento,730,491,
24/09/2025 22:02:23.586,movimento,730,492,
24/09/2025 22:02:23.635,movimento,729,494,
24/09/2025 22:02:23.651,movimento,728,495,
24/09/2025 22:02:23.684,movimento,727,496,
24/09/2025 22:02:24.018,movimento,726,496,
24/09/2025 22:02:24.035,movimento,721,495,
24/09/2025 22:02:24.051,movimento,715,492,
24/09/2025 22:02:24.067,movimento,709,488,
24/09/2025 22:02:24.083,movimento,699,482,
24/09/2025 22:02:24.099,movimento,691,478,
24/09/2025 22:02:24.116,movimento,684,472,
24/09/2025 22:02:24.132,movimento,678,469,
24/09/2025 22:02:24.150,movimento,671,463,
24/09/2025 22:02:24.166,movimento,662,456,
24/09/2025 22:02:24.182,movimento,653,449,
24/09/2025 22:02:24.199,movimento,643,442,
24/09/2025 22:02:24.215,movimento,635,435,
24/09/2025 22:02:24.232,movimento,628,429,
24/09/2025 22:02:24.249,movimento,620,422,
24/09/2025 22:02:24.266,movimento,604,409,
24/09/2025 22:02:24.282,movimento,594,402,
24/09/2025 22:02:24.298,movimento,585,394,
24/09/2025 22:02:24.314,movimento,575,387,
24/09/2025 22:02:24.331,movimento,568,382,
24/09/2025 22:02:24.349,movimento,563,379,
24/09/2025 22:02:24.365,movimento,561,376,
24/09/2025 22:02:24.381,movimento,558,373,
24/09/2025 22:02:24.398,movimento,556,372,
24/09/2025 22:02:24.415,movimento,555,371,
24/09/2025 22:02:24.432,movimento,553,370,
24/09/2025 22:02:24.515,movimento,552,369,
24/09/2025 22:02:24.532,movimento,550,367,
24/09/2025 22:02:24.535,movimento_ponto,550,367,ponto_4_movido
24/09/2025 22:02:24.547,movimento,544,366,
24/09/2025 22:02:24.564,movimento,535,366,
24/09/2025 22:02:24.580,movimento,522,366,
24/09/2025 22:02:24.596,movimento,514,368,
24/09/2025 22:02:24.613,movimento,503,368,
24/09/2025 22:02:24.630,movimento,490,368,
24/09/2025 22:02:24.646,movimento,476,368,
24/09/2025 22:02:24.662,movimento,462,368,
24/09/2025 22:02:24.679,movimento,457,367,
24/09/2025 22:02:24.697,movimento,454,367,
24/09/2025 22:02:24.714,movimento,453,367,
24/09/2025 22:02:24.730,movimento,451,367,
24/09/2025 22:02:24.746,movimento,449,369,
24/09/2025 22:02:24.762,movimento,447,371,
24/09/2025 22:02:24.778,movimento,445,373,
24/09/2025 22:02:24.794,movimento,442,374,
24/09/2025 22:02:24.812,movimento,441,374,
24/09/2025 22:02:24.844,movimento,439,374,
24/09/2025 22:02:24.861,movimento,434,374,
24/09/2025 22:02:24.878,movimento,425,373,
24/09/2025 22:02:24.895,movimento,418,372,
24/09/2025 22:02:24.914,movimento,414,372,
24/09/2025 22:02:24.930,movimento,412,372,
24/09/2025 22:02:24.946,movimento,411,372,
24/09/2025 22:02:24.963,movimento,412,372,
24/09/2025 22:02:24.979,movimento,413,372,
24/09/2025 22:02:24.995,movimento,415,373,
24/09/2025 22:02:25.011,movimento,416,373,
24/09/2025 22:02:25.046,movimento,417,374,
24/09/2025 22:02:25.063,movimento,418,374,
24/09/2025 22:02:25.080,movimento,419,376,
24/09/2025 22:02:25.096,movimento,420,376,
24/09/2025 22:02:25.129,movimento,421,377,
24/09/2025 22:02:25.146,movimento,423,378,
24/09/2025 22:02:25.295,movimento,424,378,
24/09/2025 22:02:25.508,movimento,426,378,
24/09/2025 22:02:25.525,movimento,427,377,
24/09/2025 22:02:25.542,movimento,429,376,
24/09/2025 22:02:25.558,movimento,432,375,
24/09/2025 22:02:25.575,movimento,438,372,
24/09/2025 22:02:25.591,movimento,445,370,
24/09/2025 22:02:25.607,movimento,455,366,
24/09/2025 22:02:25.623,movimento,464,362,
24/09/2025 22:02:25.640,movimento,470,359,
24/09/2025 22:02:25.656,movimento,479,356,
24/09/2025 22:02:25.674,movimento,488,353,
24/09/2025 22:02:25.678,movimento,494,351,
24/09/2025 22:02:25.690,movimento,503,346,
24/09/2025 22:02:25.706,movimento,510,343,
24/09/2025 22:02:25.722,movimento,517,340,
24/09/2025 22:02:25.741,movimento,522,337,
24/09/2025 22:02:25.758,movimento,527,333,
24/09/2025 22:02:25.774,movimento,532,331,
24/09/2025 22:02:25.791,movimento,536,330,
24/09/2025 22:02:25.807,movimento,538,329,
24/09/2025 22:02:25.907,movimento_ponto,538,329,ponto_2_movido
24/09/2025 22:02:25.955,movimento,538,328,
24/09/2025 22:02:25.972,movimento,534,324,
24/09/2025 22:02:25.988,movimento,523,317,
24/09/2025 22:02:26.005,movimento,505,310,
24/09/2025 22:02:26.022,movimento,479,298,
24/09/2025 22:02:26.038,movimento,449,286,
24/09/2025 22:02:26.056,movimento,420,279,
24/09/2025 22:02:26.074,movimento,383,271,
24/09/2025 22:02:26.090,movimento,341,264,
24/09/2025 22:02:26.106,movimento,298,258,
24/09/2025 22:02:26.107,movimento,275,257,
24/09/2025 22:02:26.122,movimento,238,254,
24/09/2025 22:02:26.138,movimento,208,250,
24/09/2025 22:02:26.154,movimento,183,245,
24/09/2025 22:02:26.170,movimento,164,241,
24/09/2025 22:02:26.187,movimento,150,239,
24/09/2025 22:02:26.203,movimento,140,236,
24/09/2025 22:02:26.220,movimento,135,233,
24/09/2025 22:02:26.236,movimento,130,230,
24/09/2025 22:02:26.252,movimento,127,228,
24/09/2025 22:02:26.269,movimento,125,226,
24/09/2025 22:02:26.287,movimento,121,224,
24/09/2025 22:02:26.303,movimento,118,221,
24/09/2025 22:02:26.320,movimento,111,218,
24/09/2025 22:02:26.337,movimento,106,214,
24/09/2025 22:02:26.353,movimento,101,209,
24/09/2025 22:02:26.370,movimento,98,204,
24/09/2025 22:02:26.386,movimento,96,198,
24/09/2025 22:02:26.402,movimento,92,191,
24/09/2025 22:02:26.419,movimento,91,189,
24/09/2025 22:02:26.487,criacao,91,189,poligono_5
24/09/2025 22:02:26.649,movimento,91,190,
24/09/2025 22:02:26.666,movimento,92,195,
24/09/2025 22:02:26.682,movimento,95,199,
24/09/2025 22:02:26.700,movimento,97,203,
24/09/2025 22:02:26.717,movimento,102,208,
24/09/2025 22:02:26.734,movimento,108,216,
24/09/2025 22:02:26.750,movimento,117,230,
24/09/2025 22:02:26.767,movimento,130,245,
24/09/2025 22:02:26.783,movimento,143,261,
24/09/2025 22:02:26.801,movimento,156,278,
24/09/2025 22:02:26.817,movimento,176,304,
24/09/2025 22:02:26.834,movimento,189,319,
24/09/2025 22:02:26.851,movimento,199,333,
24/09/2025 22:02:26.867,movimento,207,343,
24/09/2025 22:02:26.885,movimento,211,347,
24/09/2025 22:02:26.902,movimento,212,349,
24/09/2025 22:02:26.918,movimento,213,350,
24/09/2025 22:02:26.967,movimento,212,343,
24/09/2025 22:02:26.986,movimento,208,333,
24/09/2025 22:02:26.986,movimento,205,327,
24/09/2025 22:02:27.001,movimento,197,314,
24/09/2025 22:02:27.017,movimento,191,303,
24/09/2025 22:02:27.035,movimento,187,298,
24/09/2025 22:02:27.035,movimento,185,294,
24/09/2025 22:02:27.050,movimento,184,290,
24/09/2025 22:02:27.066,movimento,183,286,
24/09/2025 22:02:27.083,movimento,183,283,
24/09/2025 22:02:27.099,movimento,183,279,
24/09/2025 22:02:27.117,movimento,185,276,
24/09/2025 22:02:27.133,movimento,185,274,
24/09/2025 22:02:27.150,movimento,186,274,
24/09/2025 22:02:27.167,movimento,188,273,
